A,F#7,B,,D-,E7,A,A7
D,E,C#-,F#7,B7,,E7,
A,F#7,B,,D-,E7,A,A7
D,E,C#-,F#7,B7,E7,A,E7
A,,G#-7b5,C#7,F#7,,B7,
D,D-,A,F#7,B7,,B-7b5,E7alt
A,,G#-7b5,C#7,F#7,,B7,
D,D-,A,F#7,B-,E7,A,F#7
