Bb^,G7,C-7,F7,D-7,G7,C-7,F7
F-7,Bb7,Eb^,Eb-7,D-7,G7,C-7,F7
Bb^,G7,C-7,F7,D-7,G7,C-7,F7
F-7,Bb7,Eb^,Eb-7,C-7,F7,Bb^,
D7,,,,G7,,,
C7,,,,F7,,,
Bb^,G7,C-7,F7,D-7,G7,C-7,F7
F-7,Bb7,Eb^,Eb-7,C-7,F7,Bb^,F7
