Eb^,,,,Eb-7,,Ab7,
Bb^,,,,Db-7,,Gb7,
C-7,,F7,,D-7,,G-7,
C7,,,,C-7,,F7,Fb7
Eb^,,,,Eb-7,,Ab7,
Bb^,,,,Db-7,,Gb7,
C-7,,F7,,D-7,,G-7,
C7,,C-7,F7,Bb6,,F-7,Bb7
