Eb^,,Ab7b5,,Bb^,,D-7,G7alt
C7,,F7,,Bb6,,Bb7,
Eb^,,Ab7b5,,Bb^,,D-7b5,G7alt
C-7,G7alt,C-7,Ab7b5,Bb^,D7alt,G-7,E*7
Bb^,G7alt,C-7,F7,Bb6,,Bb7,
