G^,,,,Bb-7,,Eb7,
G^,,,,B-7,,E7,
A-7,,B-7b5,E7alt,A-7,,,
Eb7,,,,A-7,,D7,
G^,,,,Bb-7,,Eb7,
G^,,,,B-7,,E7,
A-7,,B-7b5,E7alt,A-7,,F7,
B-7,Bb*7,A-7,D7,G6,,A-7,D7
